episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_per_sampled,wiring_per_sampled_n
1,2000,5.0,-0.202527,-0.429272,-0.202527,,,,0,False,,0.8026,1.5771613121032715,185,185,185,9,2.4398,2.1196,1783,1783,ok,,5.8414,45.2,2.055,0.1124,16.363,445.3472,27.1463,13.8137,16.5633,0.072649,0.4688,0.1581,1913,215,1,0.284595,298623,1049291,2.6131,1698,0,39427,84,0.001073,0.0112,185,1.0,185
2,4000,10.0,-0.16674,-0.403508,-0.16674,,,,0,False,,0.0925,0.12474161759018898,482,667,482,33,2.9096,2.42,4186,4184,ok,,4.6942,45.2,2.258,0.0969,5.6783,282.6844,4.4609,6.0992,14.8023,0.115661,0.6375,0.1755,4425,429,1,0.279292,618618,2214947,2.3647,3996,0,105117,189,0.002479,0.02352,482,1.0,482
3,6000,15.0,-0.153863,-0.389643,-0.153863,,,,0,False,,0.1388,0.11279983818531036,486,1153,486,57,3.3253,2.5324,4370,4370,ok,,5.25,45.2,2.3648,0.1377,6.0528,300.1327,8.3106,5.4976,13.2838,0.083523,0.7638,0.1974,4800,661,8,0.265014,868431,3276931,2.8399,4139,0,114656,223,0.002689,0.03472,486,1.0,486
4,8000,20.0,-0.216262,-0.351969,-0.216262,,,,0,False,,0.0896,0.09860697016119957,1168,2321,1168,116,2.0638,1.6275,11486,11486,ok,,3.8047,45.3,1.5176,0.1664,4.6371,416.7326,4.2572,4.8187,12.5899,0.195513,0.6241,0.1071,13346,2221,16,0.252254,1076752,4268518,1.1298,11125,0,197863,345,0.007474,0.06608,1168,1.0,1168
5,10000,25.0,-0.131246,-0.438278,-0.131246,,,,0,False,,0.0872,0.1098426841199398,924,3245,924,162,4.0027,3.3394,8237,8236,ok,,5.3715,45.3,3.0663,0.1832,6.775,371.2429,5.9979,7.4705,13.37,0.163756,0.7441,0.1677,9658,1769,21,0.256937,1385448,5392164,2.8335,7889,0,282749,327,0.005408,0.06272,924,1.0,924
6,12000,30.0,-0.115569,-0.517072,-0.115569,,,,0,False,,0.1205,0.08564744889736176,789,4034,789,201,5.2995,4.4741,6391,6390,ok,,5.2122,45.7,4.2447,0.1959,5.7989,376.4743,4.6059,7.0156,13.8904,0.163426,0.7497,0.1843,7464,1462,21,0.278104,1674013,6019369,4.1728,6002,0,291726,368,0.00418,0.04032,789,1.0,789
7,14000,35.0,-0.087211,-0.42313,-0.087211,,,,0,False,,0.092,0.07459593191742897,764,4798,764,239,5.6203,4.8518,6630,6629,ok,,5.4385,45.2,4.1324,0.1846,2.4883,172.4391,1.4153,3.2862,14.0705,0.17353,0.7804,0.2907,7617,1406,18,0.296466,1862642,6282808,3.311,6211,0,327633,401,0.004266,0.05488,764,1.0,764
8,16000,5.0,-0.082055,-0.288798,-0.082055,,,,0,False,,0.0824,0.08149531856179237,182,4980,182,249,5.3118,3.5196,1267,1267,ok,,4.5005,27.8,2.9712,0.0984,1.7597,86.2862,1.3963,1.8439,14.0336,0.029375,0.7837,0.4316,1301,128,0,0.286063,294748,1030360,2.4855,1173,0,45696,94,0.000729,0.0112,182,1.0,182
9,18000,10.0,-0.06058,-0.312591,-0.06058,,,,0,False,,0.0508,0.054173510521650314,259,5239,259,261,6.9752,5.16,1935,1933,ok,,4.9698,45.2,4.4715,0.1435,2.5578,385.2482,2.5031,2.5737,12.7715,0.036803,0.805,0.0661,2042,293,4,0.27077,571862,2111981,4.0169,1749,0,101360,182,0.001144,0.02128,259,1.0,259
10,20000,15.0,-0.063575,-0.32196,-0.063575,-0.057526,-0.289807,20.0,4101,True,-0.057526,0.0432,0.043482543900609016,372,5611,372,280,6.999,5.0642,2927,2925,ok,,4.9009,45.2,4.53,0.1395,3.0524,354.7286,2.0046,3.4787,11.6199,0.029645,0.8204,0.1129,3103,433,1,0.261891,840404,3208978,4.146,2670,0,150632,256,0.001738,0.02688,372,1.0,372
11,22000,20.0,-0.053878,-0.295061,-0.053878,,,,0,False,-0.057526,0.0263,0.030584161169826984,456,6067,456,303,7.0661,5.4765,3702,3699,ok,,4.5111,35.0,4.9582,0.1278,1.6717,78.9697,1.1134,1.9413,11.5067,0.042542,0.8227,0.5464,3897,498,2,0.258783,1081816,4180396,3.576,3399,0,205779,300,0.002182,0.03696,456,1.0,456
12,24000,25.0,-0.048075,-0.295373,-0.048075,,,,0,False,-0.057526,0.0291,0.023557495325803757,531,6598,531,329,7.1209,6.144,4463,4461,ok,,4.3783,45.2,6.165,0.1905,1.9292,259.2426,1.5812,2.2557,11.0535,0.038666,0.8897,0.2025,5072,966,12,0.255483,1353951,5299567,4.1309,4106,0,278019,345,0.002843,0.08512,531,1.0,531
13,26000,30.0,-0.057144,-0.364653,-0.057144,,,,0,False,-0.057526,0.0257,0.026742860674858093,536,7134,536,356,7.6771,6.3813,4095,4090,ok,,4.2927,45.2,6.35,0.1887,2.6349,378.6332,1.5826,3.4356,11.2696,0.039518,0.9327,0.2285,4600,868,7,0.272626,1621556,5947921,5.5531,3732,0,264531,355,0.002577,0.10528,536,1.0,536
